"id","season","week","seasonType","startTime","gameIndoors","homeTeam","homeConference","awayTeam","awayConference","venueId","venue","temperature","dewPoint","humidity","precipitation","snowfall","windDirection","windSpeed","pressure","weatherConditionCode","weatherCondition"
401628366,2024,4,"regular","2024-09-21T23:45:00.000Z",FALSE,"Ole Miss","SEC","Georgia Southern","Sun Belt",3974,"Vaught-Hemingway Stadium",80.4,71.4,74,0,0,330,2.9,1012.6,3,"Cloudy"
401636374,2024,4,"regular","2024-09-21T23:00:00.000Z",FALSE,"Troy","Sun Belt","Florida A&M","SWAC",3975,"Veterans Memorial Stadium (AL)",78.6,70.9,77,0,0,0,0,1013.1,2,"Fair"
401628490,2024,4,"regular","2024-09-22T00:00:00.000Z",FALSE,"Boston College","ACC","Michigan State","Big Ten",3615,"Alumni Stadium (Chestnut Hill, MA)",56.8,54,90,0.043,0,360,11.8,1017,7,"Light Rain"
401644736,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"Northern Illinois","Mid-American","Buffalo","Mid-American",3764,"Huskie Stadium",87.3,52.2,30,0,0,190,12.7,1013,1,"Clear"
401628491,2024,4,"regular","2024-09-21T23:00:00.000Z",FALSE,"Washington","Big Ten","Northwestern","Big Ten",3765,"Husky Stadium",72,44.2,37,0,0,339,8.3,1021.1,2,"Fair"
401636875,2024,4,"regular","2024-09-21T18:00:00.000Z",FALSE,"Iowa State","Big 12","Arkansas State","Sun Belt",3772,"Jack Trice Stadium",89.2,66.4,47,0,0,190,12.7,1008.2,1,"Clear"
401641008,2024,4,"regular","2024-09-21T23:00:00.000Z",FALSE,"Louisiana Tech","Conference USA","Tulsa","American Athletic",3776,"Joe Aillet Stadium",80.8,75.2,83,0,0,126,5.6,1012,2,"Fair"
401628371,2024,4,"regular","2024-09-22T00:00:00.000Z",FALSE,"Texas","SEC","UL Monroe","Sun Belt",3910,"DKR-Texas Memorial Stadium",92.8,65.7,41,0,0,140,6.9,1008.5,1,"Clear"
401643713,2024,4,"regular","2024-09-21T19:00:00.000Z",FALSE,"Nevada","Mountain West","Eastern Washington","Big Sky",3816,"Mackay Stadium",74.3,31.6,21,0,0,21,3.7,1013.8,2,"Fair"
401635555,2024,4,"regular","2024-09-21T23:00:00.000Z",FALSE,"South Florida","American Athletic","Miami","ACC",3886,"Raymond James Stadium",86,69.1,57,0,0,60,8.1,1011.7,2,"Fair"
401635553,2024,4,"regular","2024-09-21T20:00:00.000Z",FALSE,"Middle Tennessee","Conference USA","Duke","ACC",3725,"Johnny ""Red"" Floyd Stadium",93.2,64.6,39,0,0,280,5.8,1013,3,"Cloudy"
401637162,2024,4,"regular","2024-09-22T01:45:00.000Z",FALSE,"Boise State","Mountain West","Portland State","Big Sky",3653,"Albertsons Stadium",66.6,32.5,28,0,0,0,0,1016.5,1,"Clear"
401635557,2024,4,"regular","2024-09-21T21:00:00.000Z",FALSE,"SMU","ACC","TCU","Big 12",3735,"Gerald J. Ford Stadium",95.9,64.6,36,0,0,160,15,1008.7,2,"Fair"
401636874,2024,4,"regular","2024-09-22T00:00:00.000Z",FALSE,"Colorado","Big 12","Baylor","Big 12",3726,"Folsom Field",60.6,35.4,39,0,0,300,4.3,1021,3,"Cloudy"
401636872,2024,4,"regular","2024-09-22T02:30:00.000Z",FALSE,"BYU","Big 12","Kansas State","Big 12",3801,"LaVell Edwards Stadium",62.1,43.2,50,0,0,50,3.7,1017,1,"Clear"
401645331,2024,5,"regular","2024-09-26T23:30:00.000Z",FALSE,"Temple","American Athletic","Army","American Athletic",3806,"Lincoln Financial Field",75,71.2,88,0,0,150,5.8,1016.5,4,"Overcast"
401641037,2024,4,"regular","2024-09-21T23:00:00.000Z",FALSE,"Western Kentucky","Conference USA","Toledo","Mid-American",3796,"Houchens Industries-L.T. Smith Stadium",87.3,70.2,57,0,0,280,3.4,1012.4,3,"Cloudy"
401643717,2024,4,"regular","2024-09-22T00:30:00.000Z",FALSE,"Oregon State","Pac-12","Purdue","Big Ten",3893,"Reser Stadium",73.2,47.5,40,0,0,20,3.4,1018.5,1,"Clear"
