"season","team","conference","statName","statValue"
2024,"Arkansas","SEC","passesInterceptedOpponent",9
2024,"Arkansas","SEC","passingTDs",16
2024,"Arkansas","SEC","passingTDsOpponent",22
2024,"Arkansas","SEC","penalties",93
2024,"Arkansas","SEC","penaltiesOpponent",84
2024,"Arkansas","SEC","penaltyYards",778
2024,"Arkansas","SEC","penaltyYardsOpponent",696
2024,"Arkansas","SEC","possessionTime",23720
2024,"Arkansas","SEC","possessionTimeOpponent",23080
2024,"Arkansas","SEC","puntReturns",11
2024,"Arkansas","SEC","puntReturnsOpponent",9
2024,"Arkansas","SEC","puntReturnTDs",0
2024,"Arkansas","SEC","puntReturnTDsOpponent",0
2024,"Arkansas","SEC","puntReturnYards",68
2024,"Arkansas","SEC","puntReturnYardsOpponent",52
2024,"Arkansas","SEC","rushingAttempts",492
2024,"Arkansas","SEC","rushingAttemptsOpponent",458
2024,"Arkansas","SEC","rushingTDs",34
2024,"Arkansas","SEC","rushingTDsOpponent",15
2024,"Arkansas","SEC","rushingYards",2401
2024,"Arkansas","SEC","rushingYardsOpponent",1702
2024,"Arkansas","SEC","sacks",26
2024,"Arkansas","SEC","sacksOpponent",36
2024,"Arkansas","SEC","tacklesForLoss",61
2024,"Arkansas","SEC","tacklesForLossOpponent",83
2024,"Arkansas","SEC","thirdDownConversions",72
2024,"Arkansas","SEC","thirdDownConversionsOpponent",66
2024,"Arkansas","SEC","thirdDowns",166
2024,"Arkansas","SEC","thirdDownsOpponent",182
2024,"Arkansas","SEC","totalYards",5971
2024,"Arkansas","SEC","totalYardsOpponent",4912
2024,"Arkansas","SEC","turnovers",23
2024,"Arkansas","SEC","turnoversOpponent",15
2024,"Arkansas State","Sun Belt","firstDowns",284
2024,"Arkansas State","Sun Belt","firstDownsOpponent",296
2024,"Arkansas State","Sun Belt","fourthDownConversions",15
2024,"Arkansas State","Sun Belt","fourthDownConversionsOpponent",14
2024,"Arkansas State","Sun Belt","fourthDowns",20
2024,"Arkansas State","Sun Belt","fourthDownsOpponent",22
2024,"Arkansas State","Sun Belt","fumblesLost",8
2024,"Arkansas State","Sun Belt","fumblesLostOpponent",6
2024,"Arkansas State","Sun Belt","fumblesRecovered",5
2024,"Arkansas State","Sun Belt","fumblesRecoveredOpponent",9
2024,"Arkansas State","Sun Belt","games",13
2024,"Arkansas State","Sun Belt","interceptions",10
2024,"Arkansas State","Sun Belt","interceptionsOpponent",14
2024,"Arkansas State","Sun Belt","interceptionTDs",0
2024,"Arkansas State","Sun Belt","interceptionTDsOpponent",0
2024,"Arkansas State","Sun Belt","interceptionYards",107
2024,"Arkansas State","Sun Belt","interceptionYardsOpponent",47
2024,"Arkansas State","Sun Belt","kickReturns",32
2024,"Arkansas State","Sun Belt","kickReturnsOpponent",31
2024,"Arkansas State","Sun Belt","kickReturnTDs",0
2024,"Arkansas State","Sun Belt","kickReturnTDsOpponent",0
2024,"Arkansas State","Sun Belt","kickReturnYards",631
2024,"Arkansas State","Sun Belt","kickReturnYardsOpponent",551
2024,"Arkansas State","Sun Belt","netPassingYards",2957
2024,"Arkansas State","Sun Belt","netPassingYardsOpponent",3246
2024,"Arkansas State","Sun Belt","passAttempts",442
2024,"Arkansas State","Sun Belt","passAttemptsOpponent",388
2024,"Arkansas State","Sun Belt","passCompletions",274
2024,"Arkansas State","Sun Belt","passCompletionsOpponent",244
2024,"Arkansas State","Sun Belt","passesIntercepted",14
2024,"Arkansas State","Sun Belt","passesInterceptedOpponent",10
2024,"Arkansas State","Sun Belt","passingTDs",19
2024,"Arkansas State","Sun Belt","passingTDsOpponent",23
2024,"Arkansas State","Sun Belt","penalties",73
2024,"Arkansas State","Sun Belt","penaltiesOpponent",94
2024,"Arkansas State","Sun Belt","penaltyYards",672
2024,"Arkansas State","Sun Belt","penaltyYardsOpponent",762
2024,"Arkansas State","Sun Belt","possessionTime",22660
2024,"Arkansas State","Sun Belt","possessionTimeOpponent",24140
2024,"Arkansas State","Sun Belt","puntReturns",15
2024,"Arkansas State","Sun Belt","puntReturnsOpponent",15
2024,"Arkansas State","Sun Belt","puntReturnTDs",2
2024,"Arkansas State","Sun Belt","puntReturnTDsOpponent",0
2024,"Arkansas State","Sun Belt","puntReturnYards",277
2024,"Arkansas State","Sun Belt","puntReturnYardsOpponent",147
2024,"Arkansas State","Sun Belt","rushingAttempts",484
